Parts to Purchase,Supplier,Cost,Ordered?,Arrived?,
Brushless Motor,Amazon,20.68,FALSE,FALSE,https://www.amazon.com/KingVal-Replacement-Waterproof-Brushless-Compatible/dp/B0B2NTLT6N/ref=sr_1_12?crid=16FK2QVT5FX4V&dib=eyJ2IjoiMSJ9.wLmhrLex72uKSKkukwcn6tUJhkuC7orgYVBuGi5XogSeEVD6a6ie1NEXNwX3o5o4hHVWR43ycPYKYP_RSTv02H8KIyvsXXfXKQYUIy0XK3emV2sjS8NFRtNxfMUp8aCV_FOmC4KCqAVNmtshgl_RMf2UdfnndeARka28y3eDgwagFseeosTChXHoNrxYMYpebd1YxwUwRHHjYxirgQlZzAupLe_jtyFNRC_iIDhumx9xoVKovRHaQe3JNqgn31TsMrLPdgo7zKh2SNII5ThxVd6c2G1DpPYdW4xlfj4o5CE.ujzRdIpfwikfw0e6x06a0GkoAx4JpbVFfwCFbIDtBqQ&dib_tag=se&keywords=King%2BVal%2B2030%2Bbrushless%2Bmotor&qid=1752000305&sprefix=king%2Bval%2B2030%2Bbrushless%2Bmotor%2Caps%2C178&sr=8-12&th=1
ELRS Receiver,Amazon,15.19,FALSE,FALSE,https://www.amazon.com/BETAFPV-ExpressLRS-Compatible-Multirotors-Helicopters/dp/B09WHLJ2GN/ref=sr_1_2?crid=5175J2NAFMWD&dib=eyJ2IjoiMSJ9.onqi80h0diTXna9oIGZq0nBXtsVJubzwXfuX2EuDPG2SAvTkBVYHV07BrFxD3gN0kPoP18HaGh4m7tkbToTAT_1zsXnNtKoakeDx3njhdIAS3tfG97h3L8ZwdjikBjCwKQWmSQpUrO4nNeaJ-rhqmSVE5WDLjdz-RyB7SZl8vLMMP0FnfXaTzHAhiuJYQ9fdLHiZv_NW0scUxGI06QquP8ZA8_ZDeHmaN7yXvc-PPGIjRxeFYZt0miJ_-iD5mrNtSnsMNDIysIflhIM4DpQpLkGIoMXex24W7S2T3eIEtYA.W_js6TIJGNzee6NhWxODM1tSZod76qdADOnmCQCpF9U&dib_tag=se&keywords=elrs+receiver+beta+fpv&qid=1751995668&sprefix=elrs+receiver+beta+fp%2Caps%2C179&sr=8-2
ESC,Amazon,17.99,FALSE,FALSE,https://www.amazon.com/RC-Brushless-Electric-Controller-bullet/dp/B071GRSFBD/ref=asc_df_B071GRSFBD?mcid=f79a234e84eb3688957acc64e2d06233&hvocijid=6570016539828006300-B071GRSFBD-&hvexpln=73&tag=hyprod-20&linkCode=df0&hvadid=721245378154&hvpos=&hvnetw=g&hvrand=6570016539828006300&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9032160&hvtargid=pla-2281435178618&th=1
Servo,Amazon,6.39,FALSE,FALSE,https://www.amazon.com/Micro-Servos-Helicopter-Airplane-Controls/dp/B07MLR1498/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.qphxJ6qBpfwN3t-NttBZdlXG21KmvR3CNI62Ed-u5bIRDAMhMirTaYg0uEeWY4Ba9yISLYZUticDznr1TNJF3dH0xnCyaF3rEAQ7pSFyTcs3qZLqjoK-UFGirb2bVZcw7ndDtKZ9gzLexRaGVDG82XzjKHZXG6TATFaMD3IRLJk3BF9NGWca5VVfb0IS4jE-kllY1W2wD2-1WP3OW3ZOtMI7PVjTCCgSDFWtUIWDka1pDh0t0rmudQupVUpsIKz_7dCmvDHc--2Al7x2F_qTK3ngM646yWmnqB3cxBTrpVM.suj9pwWN3o-bFReyooFlHfzPJZx6PDkIckeeaRZHL6s&dib_tag=se&keywords=sg90+servo+1pc&qid=1752002826&refinements=p_36%3A-900&rnid=386491011&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Motor-Shaft Coupling,Amazon,7.04,FALSE,FALSE,https://www.amazon.com/PATIKIL-Rotatable-Universal-Connector-Accessories/dp/B0DS2MMMJ8/ref=sr_1_7?crid=XIUXLXGUCWNH&dib=eyJ2IjoiMSJ9.MowJtZC_MpaROhN-mwgIWlB9ubzHDVlJ1B1F6xxs6mp8-5JNjsxDUFey7mOE1eGXEDpY2nH9TzNcmyHBhO8J60SxZw7rFmbJQBjKflA6GRPpBm1DktUpP-HCbVcCgFPHQs5BoNqVXspaGlXJLWBcszqQEZKKY3A4hQJI6p0_eMsm9g_DLt_r7vGAfZATZdaFXECz-9AOKWJTopWAKRknPQpbMhpU_S4isMu4V32CG-kTeOHg8kZk9aYoztMz2gywigFzo17QVl-SKvY_8fmWgwoV40I_--1Ho5iU_GswySE.0swM6I_1Qc8hZ5iYt3WTlxKvj2eiwO_Xp7MtVicAYhI&dib_tag=se&keywords=Coupling%2B2.3mm%2Bto%2B3mm&qid=1752007606&s=industrial&sprefix=coupling%2B2.3mm%2Bto%2B3mm%2Cindustrial%2C260&sr=1-7&th=1
3mm Prop Shaft,Amazon,5.69,FALSE,FALSE,https://www.amazon.com/uxcell-100mm-Stainless-Steel-Solid/dp/B082ZP313B/ref=sr_1_3?crid=2BVU0RYZCPLHQ&dib=eyJ2IjoiMSJ9.BXjT6KzEUB99w0ZLIpeuyHftXzbQSuzyTL92msbgpVqPgeqba0roj4hu63rwcc2QOx11xZN5iSY6UohPbjZDcmjT4qIlEvUKQM1541Ip7V2UBFwlul2GB7ULXAXQK1UZH1bIDXeFl5sO823cvwplj5ly4yvQV_CZGTZI5Vk3-vbp_Tdt04QAAQisKA45hF4c06_hw-BFQ-Jgfjwn5gsML9n0jk4uYwA9iHrlhXbO-afXXHqqLkeggx2ZmUZeD5oCk1xRgNYtR_BmJoG6o3DoIap4h4k0YFGuCCgeehSHf2Y.RLiTIpgBUH01ztQtlIessCmfIiDTeb0vvcLlK9i5uVE&dib_tag=se&keywords=3mm%2Bsteel%2Bshaft&qid=1752007745&s=industrial&sprefix=3mm%2Bsteel%2Bshaft%2Cindustrial%2C1026&sr=1-3&th=1
2S 1000mAh Lipo,SpeedyFPV,14.99,FALSE,FALSE,https://speedyfpv.com/products/turnigy-1000mah-2s-30c-lipo-battery-t1000-2s-30?variant=44984415813846&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=21376024065&gbraid=0AAAAAqe2hTJnQPJi9H2T5nLZ7Q3NYKzfO&gclid=CjwKCAjwg7PDBhBxEiwAf1CVuy4zF8fnuz1AIklME4byzCVZMj3zr5TtwIjdh9_ONexK9HBBMgUWwxoCs7AQAvD_BwE
VHB Tape,Amazon,3.36,FALSE,FALSE,https://www.amazon.com/Mounting-Adhesive-Waterproof-Decorative-Materials/dp/B0DJM2JC4L/ref=sr_1_18?dib=eyJ2IjoiMSJ9.vjU7_8bA7ExtsdOscC2fwyP53d198-r1iDA41jLJ8nkdXWFEJXWfoH1iEd5ybd_q7LdqT4kH6GL2LaqWKvGKtYiPXUuHaxMrM9sh1z9cSm9BglBABwjgLa3pTeKja1R8mrZ07pS5eJdV86i1nxpyfcw3pdFtE9WoZnzF9QHRDiqCMxzKA5NERsxevztk8ueqf2gTKcSFFNoVHWAEuMBefo-xD7gvpu6vtJDuxr2vAAQ.BG6R3UH2cKO8bjCYTeVAbcoZ-deQTCG8fXkdPJFyTDE&dib_tag=se&keywords=vhb&qid=1752187456&refinements=p_36%3A-1000%2Cp_n_feature_five_browse-bin%3A121876163011%2Cp_n_size_three_browse-vebin%3A17870888011&rnid=17870887011&sr=8-18&th=1
JST Connector Charger,Amazon,4.79,FALSE,FALSE,https://www.amazon.com/WESIRI-3pin-JST-SM-Connectors/dp/B0BW777LBK/ref=sr_1_4?crid=31JN2K69UJZG6&dib=eyJ2IjoiMSJ9.skbEriPn3fTbLKtJX-x9rdykPItiO4fcjA_CflcOTdRxe3ia7_dwwsxj5ZgR0awwLwO0ZMG-2Qu__-g0RSa0_U5MZcjTWiMWF9xUuS3Ew6im7RA-bGq6PkXHT8Ke4QAprgBXd8ihgYsPH0-d-9w089N5nzjvxb5t2ZrC6hMEk75MDabxlNfsTyDNr7hHrVZOf2nuyTNT03_en3MiH8kXtX1Z68KYsZ82ZSfCD-yzDus.UMNKq_UnPfOkGfnYAP3zvN7OlV4CEf3mj7Zj72rI5p0
M2/2.5/3 Screw Set,Amazon,7.99,FALSE,FALSE,https://www.amazon.com/VGBUY-Stainless-Assortment-Multipurpose-Electronics/dp/B0DSD2RKKM/ref=sr_1_9?crid=QX6UMO2UEDFG&dib=eyJ2IjoiMSJ9.aADVyU5hqKTOYrCB72c9W4G1U7fYbP1sx2wCUGs9J4K4NW7npuKhCDEEX8R6Iivnu5Buijbc7DTnIQ0qjQLDng0Lce9yeiDPk-MYFPN0ToozcciXqU_KC_65RxxwLgaksYI2Fx3dCxqQ1TcnlkMv30qJCH_M3hd092oyzD-9cCivEvjR_plxsnZVu9GmwlvyAQmqv14yuhSUyUwR6y9hoiSrRd58YuUc3xY_MXy9mjGY72e3uAXFExd9dHSAdFkoXWkxjadbxVvq_30tfHBko05VWoOlg1ZLUgq5Qajj2zU.TdO938jWqhklLs8BP1XByka3ldDd_OMo6XWUrXU7l3E
